id,region,game_mode,patch,blue_team,red_team,winning_team
1,NA1,ARAM,14.13.596.7996,"{Rell,Velkoz,Samira,TwistedFate,Bard}","{Tristana,Lux,Neeko,Lulu,Belveth}",0
2,NA1,ARAM,14.13.596.7996,"{Varus,Lulu,Jhin,Veigar,Viktor}","{Ekko,Maokai,Ashe,KogMaw,RekSai}",0
3,NA1,ARAM,14.13.596.7996,"{Annie,Darius,Smolder,Hwei,Aphelios}","{Belveth,Quinn,LeeSin,Sylas,Lucian}",0
4,NA1,ARAM,14.13.596.7996,"{Aphelios,Malphite,Draven,Sett,Janna}","{Bard,Kindred,Swain,Nautilus,Olaf}",0
5,NA1,ARAM,14.13.596.7996,"{Syndra,Karma,Kalista,Pyke,Sona}","{Garen,Yasuo,TahmKench,Lulu,Nami}",0
6,NA1,ARAM,14.13.596.7996,"{Vex,Olaf,Corki,Alistar,Graves}","{Velkoz,Galio,Ziggs,Gragas,Caitlyn}",1
9,NA1,ARAM,14.13.598.9749,"{Ryze,TahmKench,Naafiri,Kindred,Katarina}","{TwistedFate,Kaisa,Chogath,Graves,Ezreal}",0
11,NA1,ARAM,14.13.596.7996,"{Zeri,Udyr,Poppy,Darius,Neeko}","{Jhin,Ziggs,Gwen,JarvanIV,Janna}",0
18,NA1,ARAM,14.13.596.7996,"{Jhin,Shyvana,Ivern,Jinx,Vladimir}","{Leona,Veigar,MonkeyKing,Morgana,Nidalee}",0
19,NA1,ARAM,14.13.598.9749,"{Thresh,Kindred,Heimerdinger,Kaisa,Graves}","{Gnar,Lux,JarvanIV,Shaco,Morgana}",1
20,NA1,ARAM,14.13.596.7996,"{Poppy,Velkoz,Jhin,Illaoi,Viktor}","{Singed,MasterYi,Chogath,MissFortune,Sona}",0
21,NA1,ARAM,14.13.598.9749,"{Jhin,Ashe,Seraphine,Varus,Riven}","{Qiyana,Soraka,Renata,MissFortune,Akshan}",1
23,NA1,ARAM,14.13.598.9749,"{Leblanc,MissFortune,Ezreal,Quinn,Elise}","{Ornn,Lucian,Lissandra,Morgana,Varus}",0
24,NA1,ARAM,14.13.598.9749,"{Katarina,Ziggs,Janna,Graves,Akali}","{Nocturne,Blitzcrank,Ryze,Elise,Jhin}",1
26,NA1,ARAM,14.13.596.7996,"{Brand,Nautilus,KogMaw,Varus,Ziggs}","{Vi,Aatrox,Volibear,Leblanc,Sona}",0
27,NA1,ARAM,14.13.596.7996,"{Lux,Malphite,Nasus,Veigar,Darius}","{Ashe,Corki,Syndra,Ahri,TahmKench}",1
28,NA1,ARAM,14.13.596.7996,"{TwistedFate,Ezreal,Twitch,Xerath,Viktor}","{Darius,Malphite,Sejuani,Jhin,Pantheon}",0
