id,match_id,region,game_mode,elo,version,blue_one,blue_two,blue_three,blue_four,blue_five,red_one,red_two,red_three,red_four,red_five,winning_team
1,NA1_5035365410,NA1,ARAM,UNRANKED,14.13.598.9749,Seraphine,MissFortune,Ekko,Mordekaiser,Galio,Graves,Xerath,Veigar,Milio,Varus,1
2,NA1_5035158841,NA1,ARAM,EMERALD IV,14.13.598.9749,Katarina,Nami,Nunu,Tristana,Galio,Akali,Morgana,Rell,Ezreal,Skarner,0
3,NA1_5034749990,NA1,ARAM,UNRANKED,14.13.598.9749,Zyra,Yasuo,Morgana,Azir,Brand,Sion,TahmKench,Sivir,Kennen,Senna,0
4,NA1_5034738892,NA1,ARAM,UNRANKED,14.13.598.9749,Karma,Sona,Fizz,Nidalee,Jax,Ezreal,Quinn,Sett,Shaco,Morgana,0
5,NA1_5034466323,NA1,ARAM,UNRANKED,14.13.598.9749,Corki,Vladimir,Caitlyn,Hwei,Amumu,Samira,Galio,Gangplank,Xayah,Orianna,1
6,NA1_5033727779,NA1,ARAM,UNRANKED,14.13.598.9749,Rammus,Graves,Malphite,Kaisa,Neeko,Ezreal,MasterYi,Fizz,Renekton,Yuumi,1
7,NA1_5033708931,NA1,ARAM,UNRANKED,14.13.598.9749,Draven,Brand,Sejuani,Sylas,Annie,Shaco,Jayce,Belveth,Lillia,Zoe,0
8,NA1_5033218961,NA1,ARAM,UNRANKED,14.13.598.9749,Jhin,Karma,Tristana,Ryze,Lux,Yasuo,Seraphine,Varus,JarvanIV,Malzahar,1
9,NA1_5032856448,NA1,ARAM,UNRANKED,14.13.598.9749,Karma,Sona,Akali,Ahri,XinZhao,Kaisa,Khazix,Mordekaiser,Lux,Gragas,0
10,NA1_5032479051,NA1,ARAM,UNRANKED,14.13.598.9749,MissFortune,Brand,Sett,Hecarim,Lux,Twitch,Aatrox,Galio,Xayah,Lucian,0
11,NA1_5032090320,NA1,ARAM,UNRANKED,14.13.598.9749,Shyvana,Sett,Jhin,Ahri,Lux,AurelionSol,Kled,Yuumi,Akali,Xerath,0
12,NA1_5031678450,NA1,ARAM,UNRANKED,14.13.598.9749,Caitlyn,Lux,Belveth,Maokai,Sivir,Syndra,Akali,Morgana,Teemo,Veigar,0
13,NA1_5031446976,NA1,ARAM,UNRANKED,14.13.598.9749,Renekton,Varus,JarvanIV,Aphelios,Seraphine,Zeri,Kayn,Rumble,Soraka,Sett,0
14,NA1_5031425397,NA1,ARAM,UNRANKED,14.13.598.9749,Akshan,Varus,Rumble,Diana,Morgana,Bard,Nasus,Cassiopeia,Naafiri,Taliyah,1
15,NA1_5031408858,NA1,ARAM,SILVER I,14.13.598.9749,Ahri,Ashe,RekSai,Senna,TwistedFate,Ziggs,Caitlyn,Ivern,Kindred,Vex,1
16,NA1_5031395974,NA1,ARAM,UNRANKED,14.13.598.9749,Lucian,Velkoz,Chogath,Malphite,Belveth,Syndra,Zyra,Sivir,TahmKench,Riven,1
17,NA1_5031376029,NA1,ARAM,EMERALD IV,14.13.598.9749,Zilean,Chogath,Varus,Soraka,Vayne,Olaf,Kaisa,Talon,Xerath,Ashe,0
18,NA1_5031350501,NA1,ARAM,UNRANKED,14.13.598.9749,LeeSin,Velkoz,Thresh,TahmKench,Viktor,Darius,Zoe,Heimerdinger,Gangplank,Karma,0
19,NA1_5031046772,NA1,ARAM,UNRANKED,14.13.596.7996,Quinn,Kaisa,Nami,Braum,Irelia,XinZhao,Ekko,Kindred,Morgana,Maokai,1
20,NA1_5031029287,NA1,ARAM,PLATINUM III,14.13.596.7996,Zed,Qiyana,JarvanIV,Kaisa,Shyvana,Chogath,Viego,Zeri,FiddleSticks,Pyke,1
1194,NA1_5035217257,NA1,ARAM,BRONZE II,14.13.598.9749,Zoe,Neeko,Karma,Elise,Nautilus,Malphite,MissFortune,Camille,Tristana,Singed,0
22,NA1_5035321440,NA1,ARAM,UNRANKED,14.13.598.9749,Teemo,Twitch,Darius,Blitzcrank,Zed,Khazix,Garen,Renata,Ziggs,Ashe,1
23,NA1_5035320034,NA1,ARAM,UNRANKED,14.13.598.9749,Ashe,Fizz,Akali,Hecarim,Nami,Belveth,Rammus,Senna,Swain,Malzahar,1
24,NA1_5035306624,NA1,ARAM,UNRANKED,14.13.598.9749,Nidalee,Udyr,Vladimir,Quinn,Senna,Lucian,Milio,Braum,Ryze,AurelionSol,1
25,NA1_5035194875,NA1,ARAM,UNRANKED,14.13.598.9749,Lillia,Jayce,Veigar,Caitlyn,Darius,Ezreal,Viego,Orianna,Gnar,Nami,0
26,NA1_5035170322,NA1,ARAM,EMERALD III,14.13.598.9749,KogMaw,Seraphine,Neeko,Diana,Varus,Anivia,Nidalee,Leblanc,Vi,AurelionSol,0
27,NA1_5035051624,NA1,ARAM,UNRANKED,14.13.598.9749,Lucian,Malzahar,Yuumi,Karma,Malphite,Teemo,Viego,Milio,Ziggs,KogMaw,0
28,NA1_5035031191,NA1,ARAM,UNRANKED,14.13.598.9749,Sett,Ezreal,Zilean,JarvanIV,MasterYi,Urgot,Skarner,Qiyana,Yuumi,Velkoz,0
29,NA1_5035010340,NA1,ARAM,UNRANKED,14.13.598.9749,XinZhao,Nautilus,Teemo,Vayne,Swain,Kennen,Jhin,Morgana,Samira,Neeko,0
30,NA1_5033480158,NA1,ARAM,BRONZE I,14.13.598.9749,Nocturne,Ahri,Katarina,Swain,MissFortune,Bard,Morgana,Skarner,Kindred,Twitch,0
31,NA1_5033473240,NA1,ARAM,UNRANKED,14.13.598.9749,Corki,Olaf,Warwick,Xayah,Rammus,Neeko,Renekton,FiddleSticks,MissFortune,Gragas,0
32,NA1_5033312136,NA1,ARAM,UNRANKED,14.13.598.9749,Nasus,Malphite,Karma,Viktor,Senna,Xerath,Kled,Yasuo,Syndra,MissFortune,1
33,NA1_5033292528,NA1,ARAM,UNRANKED,14.13.598.9749,Seraphine,Zoe,KogMaw,Sejuani,Karthus,Illaoi,Janna,Lucian,LeeSin,Katarina,1
34,NA1_5033283581,NA1,ARAM,UNRANKED,14.13.598.9749,Xerath,Twitch,Darius,Briar,Taliyah,MissFortune,KogMaw,Smolder,Yone,Vi,0
35,NA1_5032502285,NA1,ARAM,UNRANKED,14.13.598.9749,Malphite,Udyr,Neeko,Brand,Akali,Alistar,Naafiri,Elise,Orianna,Draven,0
36,NA1_5032492835,NA1,ARAM,GOLD I,14.13.598.9749,Milio,LeeSin,Katarina,Varus,Renekton,Samira,Ekko,Corki,Blitzcrank,Vex,0
37,NA1_5032209720,NA1,ARAM,PLATINUM IV,14.13.598.9749,Varus,Rammus,Corki,Aatrox,Zeri,Elise,MissFortune,Ornn,Blitzcrank,Ryze,0
38,NA1_5032204625,NA1,ARAM,EMERALD IV,14.13.598.9749,Brand,Pyke,Volibear,Annie,Quinn,Gangplank,Akshan,Leona,Lissandra,Ziggs,0
39,NA1_5032030224,NA1,ARAM,SILVER I,14.13.598.9749,Ahri,Shyvana,Hwei,Khazix,Maokai,Velkoz,Nautilus,Corki,Rumble,Zyra,0
40,NA1_5032002637,NA1,ARAM,UNRANKED,14.13.598.9749,Lillia,Diana,KogMaw,Soraka,Volibear,Karma,Akshan,Sion,Evelynn,Senna,1
41,NA1_5035374574,NA1,ARAM,UNRANKED,14.13.598.9749,Garen,Vex,Milio,Tryndamere,Sylas,Heimerdinger,Ezreal,Malphite,Nautilus,Zed,0
43,NA1_5035362033,NA1,ARAM,UNRANKED,14.13.598.9749,Graves,TahmKench,Renekton,Kaisa,Akali,Ahri,Kennen,Viego,Chogath,Nidalee,0
44,NA1_5034250686,NA1,ARAM,UNRANKED,14.13.598.9749,Rell,Fizz,Sett,Samira,Jhin,Orianna,LeeSin,Senna,Ryze,Morgana,0
45,NA1_5034236243,NA1,ARAM,SILVER IV,14.13.598.9749,Teemo,Tristana,Malzahar,Sett,Chogath,Mordekaiser,Taliyah,Zeri,Qiyana,Khazix,0
46,NA1_5034047725,NA1,ARAM,PLATINUM II,14.13.598.9749,Kaisa,Udyr,Jhin,Yorick,Varus,Ashe,Jinx,Ziggs,Aatrox,Smolder,0
47,NA1_5034043998,NA1,ARAM,UNRANKED,14.13.598.9749,Janna,Kayn,Kled,Neeko,Elise,Azir,Sona,Jax,Sion,Caitlyn,1
48,NA1_5034027406,NA1,ARAM,BRONZE I,14.13.598.9749,Velkoz,Morgana,Zeri,AurelionSol,Swain,Maokai,Vi,Garen,Lux,Neeko,1
49,NA1_5033467603,NA1,ARAM,PLATINUM III,14.13.598.9749,Rengar,Tristana,Amumu,Ziggs,Janna,Hwei,Quinn,Braum,Kayle,Akali,0
